Trade DATE,Symbol,Close
1/3/2017,AMZN,753.67
1/4/2017,AMZN,757.18
1/5/2017,AMZN,780.45
1/6/2017,AMZN,795.99
1/9/2017,AMZN,796.92
1/10/2017,AMZN,795.9
1/11/2017,AMZN,799.02
1/12/2017,AMZN,813.64
1/13/2017,AMZN,817.14
1/17/2017,AMZN,809.72
1/18/2017,AMZN,807.48
1/19/2017,AMZN,809.04
1/20/2017,AMZN,808.33
1/23/2017,AMZN,817.88
1/24/2017,AMZN,822.44
1/25/2017,AMZN,836.52
1/26/2017,AMZN,839.15
1/27/2017,AMZN,835.77
1/30/2017,AMZN,830.38
1/31/2017,AMZN,823.48
2/1/2017,AMZN,832.35
2/2/2017,AMZN,839.95
2/3/2017,AMZN,810.2
2/6/2017,AMZN,807.64
2/7/2017,AMZN,812.5
2/8/2017,AMZN,819.71
2/9/2017,AMZN,821.36
2/10/2017,AMZN,827.46
2/13/2017,AMZN,836.53
2/14/2017,AMZN,836.39
2/15/2017,AMZN,842.7
2/16/2017,AMZN,844.14
2/17/2017,AMZN,845.07
2/21/2017,AMZN,856.44
2/22/2017,AMZN,855.61
2/23/2017,AMZN,852.19
2/24/2017,AMZN,845.24
2/27/2017,AMZN,848.64
2/28/2017,AMZN,845.04
3/1/2017,AMZN,853.08
3/2/2017,AMZN,848.91
3/3/2017,AMZN,849.88
3/6/2017,AMZN,846.61
3/7/2017,AMZN,846.02
3/8/2017,AMZN,850.5
3/9/2017,AMZN,853
3/10/2017,AMZN,852.46
3/13/2017,AMZN,854.59
3/14/2017,AMZN,852.53
3/15/2017,AMZN,852.97
3/16/2017,AMZN,853.42
3/17/2017,AMZN,852.31
3/20/2017,AMZN,856.97
3/21/2017,AMZN,843.2
3/22/2017,AMZN,848.06
3/23/2017,AMZN,847.38
3/24/2017,AMZN,845.61
3/27/2017,AMZN,846.82
3/28/2017,AMZN,856
3/29/2017,AMZN,874.32
3/30/2017,AMZN,876.34
3/31/2017,AMZN,886.54
4/3/2017,AMZN,891.51
4/4/2017,AMZN,906.83
4/5/2017,AMZN,909.28
4/6/2017,AMZN,898.28
4/7/2017,AMZN,894.88
4/10/2017,AMZN,907.04
4/11/2017,AMZN,902.36
4/12/2017,AMZN,896.23
4/13/2017,AMZN,884.67
4/17/2017,AMZN,901.99
4/18/2017,AMZN,903.78
4/19/2017,AMZN,899.2
4/20/2017,AMZN,902.06
4/21/2017,AMZN,898.53
4/24/2017,AMZN,907.41
4/25/2017,AMZN,907.62
4/26/2017,AMZN,909.29
