Trade DATE,Symbol,Close
1/3/2017,REM,42.78
1/4/2017,REM,43.15
1/5/2017,REM,43.24
1/6/2017,REM,43.18
1/9/2017,REM,42.95
1/10/2017,REM,43.1
1/11/2017,REM,43.27
1/12/2017,REM,43.08
1/13/2017,REM,43.13
1/17/2017,REM,43.15
1/18/2017,REM,43.23
1/19/2017,REM,42.95
1/20/2017,REM,43.05
1/23/2017,REM,43.31
1/24/2017,REM,43.39
1/25/2017,REM,43.28
1/26/2017,REM,43.34
1/27/2017,REM,43.21
1/30/2017,REM,42.94
1/31/2017,REM,42.63
2/1/2017,REM,42.73
2/2/2017,REM,43.07
2/3/2017,REM,43.28
2/6/2017,REM,43.57
2/7/2017,REM,43.5
2/8/2017,REM,43.57
2/9/2017,REM,43.63
2/10/2017,REM,43.87
2/13/2017,REM,44.1
2/14/2017,REM,43.96
2/15/2017,REM,43.92
2/16/2017,REM,44.49
2/17/2017,REM,44.33
2/21/2017,REM,44.56
2/22/2017,REM,44.67
2/23/2017,REM,44.85
2/24/2017,REM,44.85
2/27/2017,REM,44.84
2/28/2017,REM,45.05
3/1/2017,REM,44.91
3/2/2017,REM,44.84
3/3/2017,REM,44.97
3/6/2017,REM,44.89
3/7/2017,REM,44.81
3/8/2017,REM,44.06
3/9/2017,REM,43.74
3/10/2017,REM,44.26
3/13/2017,REM,44.05
3/14/2017,REM,43.92
3/15/2017,REM,44.69
3/16/2017,REM,44.82
3/17/2017,REM,45.2
3/20/2017,REM,45.27
3/21/2017,REM,45.2
3/22/2017,REM,45.33
3/23/2017,REM,45.4
3/24/2017,REM,44.21
3/27/2017,REM,44.49
3/28/2017,REM,44.81
3/29/2017,REM,45.31
3/30/2017,REM,45.38
3/31/2017,REM,45.29
4/3/2017,REM,45.39
4/4/2017,REM,45.58
4/5/2017,REM,45.36
4/6/2017,REM,45.62
4/7/2017,REM,45.56
4/10/2017,REM,45.8
4/11/2017,REM,46.13
4/12/2017,REM,46.11
4/13/2017,REM,46.28
4/17/2017,REM,46.82
4/18/2017,REM,46.83
4/19/2017,REM,46.66
4/20/2017,REM,46.29
4/21/2017,REM,46.46
4/24/2017,REM,46.5
4/25/2017,REM,46.69
4/26/2017,REM,47.08
4/27/2017,REM,47.58
4/28/2017,REM,46.92
5/1/2017,REM,47.32
5/2/2017,REM,46.45
5/3/2017,REM,45.91
5/4/2017,REM,45.74
5/5/2017,REM,46
5/8/2017,REM,45.7
5/9/2017,REM,44.92
5/10/2017,REM,45.13
5/11/2017,REM,45.15
5/12/2017,REM,45
5/15/2017,REM,45.22
5/16/2017,REM,45.18
5/17/2017,REM,45.13
5/18/2017,REM,45.08
5/19/2017,REM,45.29
5/22/2017,REM,45.79
5/23/2017,REM,46.08
5/24/2017,REM,46.33
5/25/2017,REM,46.39
5/26/2017,REM,46.35
5/30/2017,REM,46.2
5/31/2017,REM,46.23
6/1/2017,REM,46.67
6/2/2017,REM,46.76
6/5/2017,REM,46.42
6/6/2017,REM,46.35
6/7/2017,REM,46.35
6/8/2017,REM,46.87
6/9/2017,REM,47.02
6/12/2017,REM,47.16
6/13/2017,REM,47.38
6/14/2017,REM,47.63
6/15/2017,REM,47.82
6/16/2017,REM,48.09
6/19/2017,REM,48.37
6/20/2017,REM,47.98
6/21/2017,REM,47.76
6/22/2017,REM,48.11
6/23/2017,REM,48.31
6/26/2017,REM,48.42
6/27/2017,REM,46.79
6/28/2017,REM,46.88
6/29/2017,REM,46.52
6/30/2017,REM,46.38
7/3/2017,REM,46.98
7/5/2017,REM,47.04
7/6/2017,REM,46.65
7/7/2017,REM,46.16
7/10/2017,REM,46.26
7/11/2017,REM,46.44
7/12/2017,REM,46.75
7/13/2017,REM,46.22
7/14/2017,REM,46.61
7/17/2017,REM,46.53
7/18/2017,REM,45.75
7/19/2017,REM,45.98
7/20/2017,REM,46.14
7/21/2017,REM,46.4
7/24/2017,REM,46.22
7/25/2017,REM,46.01
7/26/2017,REM,46.09
7/27/2017,REM,46.18
7/28/2017,REM,46.16
7/31/2017,REM,46.5
8/1/2017,REM,46.71
8/2/2017,REM,46.75
8/3/2017,REM,46.66
8/4/2017,REM,46.64
8/7/2017,REM,46.71
8/8/2017,REM,46.87
8/9/2017,REM,47.19
8/10/2017,REM,46.85
8/11/2017,REM,46.76
8/14/2017,REM,47.1
8/15/2017,REM,47.07
8/16/2017,REM,47.13
8/17/2017,REM,46.81
8/18/2017,REM,47.02
8/21/2017,REM,47.02
8/22/2017,REM,47.27
8/23/2017,REM,47.07
8/24/2017,REM,47.21
8/25/2017,REM,47.1
8/28/2017,REM,47.17
8/29/2017,REM,46.71
8/30/2017,REM,46.76
8/31/2017,REM,47.09
9/1/2017,REM,47.26
9/5/2017,REM,46.58
9/6/2017,REM,46.64
9/7/2017,REM,46.57
9/8/2017,REM,46.53
9/11/2017,REM,46.88
9/12/2017,REM,46.95
9/13/2017,REM,46.51
9/14/2017,REM,46.56
9/15/2017,REM,46.8
9/18/2017,REM,46.99
9/19/2017,REM,47.16
9/20/2017,REM,47.08
9/21/2017,REM,47.05
9/22/2017,REM,47.43
9/25/2017,REM,47.52
9/26/2017,REM,46.72
9/27/2017,REM,46.74
9/28/2017,REM,46.89
9/29/2017,REM,46.84
10/2/2017,REM,47.13
10/3/2017,REM,47.13
10/4/2017,REM,47.2
10/5/2017,REM,47.41
10/6/2017,REM,46.83
10/9/2017,REM,46.96
10/10/2017,REM,46.9
10/11/2017,REM,46.99
10/12/2017,REM,47.07
10/13/2017,REM,47.26
10/16/2017,REM,47.28
10/17/2017,REM,47.35
10/18/2017,REM,47.46
10/19/2017,REM,47.54
10/20/2017,REM,47.47
10/23/2017,REM,47
10/24/2017,REM,46.92
10/25/2017,REM,46.44
10/26/2017,REM,45.44
10/27/2017,REM,46.02
10/30/2017,REM,45.57
10/31/2017,REM,45.45
11/1/2017,REM,45.65
11/2/2017,REM,44.97
11/3/2017,REM,44.85
11/6/2017,REM,44.17
11/7/2017,REM,44.42
11/8/2017,REM,44.77
11/9/2017,REM,44.67
11/10/2017,REM,44.44
11/13/2017,REM,44.76
11/14/2017,REM,45.04
11/15/2017,REM,44.68
11/16/2017,REM,44.96
11/17/2017,REM,45.08
11/20/2017,REM,45.65
11/21/2017,REM,45.99
11/22/2017,REM,46.27
11/24/2017,REM,46
11/27/2017,REM,45.83
11/28/2017,REM,45.88
11/29/2017,REM,45.9
11/30/2017,REM,45.63
12/1/2017,REM,45.77
12/4/2017,REM,46.2
12/5/2017,REM,46.11
12/6/2017,REM,46.03
12/7/2017,REM,46.26
12/8/2017,REM,46.24
12/11/2017,REM,46.22
12/12/2017,REM,46.21
12/13/2017,REM,46.43
12/14/2017,REM,46.5
12/15/2017,REM,46.94
12/18/2017,REM,46.78
12/19/2017,REM,44.44
12/20/2017,REM,44.73
12/21/2017,REM,45.04
12/22/2017,REM,45
12/26/2017,REM,45.11
12/27/2017,REM,45.2
12/28/2017,REM,45.64
12/29/2017,REM,45.2
1/2/2018,REM,44.75
1/3/2018,REM,44.14
1/4/2018,REM,44.23
1/5/2018,REM,44.4
1/8/2018,REM,44.58
1/9/2018,REM,44.2
1/10/2018,REM,44.06
1/11/2018,REM,44.4
1/12/2018,REM,44.09
1/16/2018,REM,43.84
1/17/2018,REM,43.9
1/18/2018,REM,43.5
1/19/2018,REM,43.8
1/22/2018,REM,43.8
1/23/2018,REM,44.11
1/24/2018,REM,44
1/25/2018,REM,43.82
1/26/2018,REM,43.57
1/29/2018,REM,42.57
1/30/2018,REM,42.62
1/31/2018,REM,42.1
2/1/2018,REM,42.13
2/2/2018,REM,41.56
2/5/2018,REM,40.65
2/6/2018,REM,41.21
2/7/2018,REM,41.02
2/8/2018,REM,40.58
2/9/2018,REM,40.83
2/12/2018,REM,41.28
2/13/2018,REM,41.67
2/14/2018,REM,41.77
2/15/2018,REM,42.46
2/16/2018,REM,42.78
2/20/2018,REM,41.91
2/21/2018,REM,41.55
2/22/2018,REM,41.46
2/23/2018,REM,42.02
2/26/2018,REM,42.2
2/27/2018,REM,41.28
2/28/2018,REM,40.74
3/1/2018,REM,40.87
3/2/2018,REM,41.2
3/5/2018,REM,41.63
3/6/2018,REM,41.93
3/7/2018,REM,41.94
3/8/2018,REM,42.11
3/9/2018,REM,42.32
3/12/2018,REM,42.86
3/13/2018,REM,42.85
3/14/2018,REM,42.98
3/15/2018,REM,42.69
3/16/2018,REM,43.08
3/19/2018,REM,42.8
3/20/2018,REM,42.76
3/21/2018,REM,42.75
3/22/2018,REM,41.69
3/23/2018,REM,41.41
3/26/2018,REM,41.78
3/27/2018,REM,41.94
3/28/2018,REM,42.12
3/29/2018,REM,42.48
4/2/2018,REM,42.11
4/3/2018,REM,42.41
4/4/2018,REM,42.56
4/5/2018,REM,42.56
4/6/2018,REM,42.57
4/9/2018,REM,42.4
4/10/2018,REM,42.46
4/11/2018,REM,42.39
4/12/2018,REM,42.16
4/13/2018,REM,41.88
4/16/2018,REM,42.18
4/17/2018,REM,42.3
4/18/2018,REM,42.26
4/19/2018,REM,42.12
4/20/2018,REM,42.02
4/23/2018,REM,42.09
4/24/2018,REM,42.16
4/25/2018,REM,42.25
4/26/2018,REM,42.59
4/27/2018,REM,42.76
4/30/2018,REM,42.6
5/1/2018,REM,42.64
5/2/2018,REM,42.52
5/3/2018,REM,42.73
5/4/2018,REM,43.27
5/7/2018,REM,43.5
5/8/2018,REM,42.95
5/9/2018,REM,42.99
5/10/2018,REM,43.45
5/11/2018,REM,43.51
5/14/2018,REM,43.48
5/15/2018,REM,43.4
5/16/2018,REM,43.36
5/17/2018,REM,43.31
5/18/2018,REM,43.57
5/21/2018,REM,43.93
5/22/2018,REM,43.9
5/23/2018,REM,44.04
5/24/2018,REM,43.74
5/25/2018,REM,43.81
5/29/2018,REM,44.09
5/30/2018,REM,44.34
5/31/2018,REM,43.83
6/1/2018,REM,43.85
6/4/2018,REM,44
6/5/2018,REM,43.98
6/6/2018,REM,43.99
6/7/2018,REM,44.06
6/8/2018,REM,44.29
6/11/2018,REM,44.34
6/12/2018,REM,44.19
6/13/2018,REM,43.97
6/14/2018,REM,44.28
6/15/2018,REM,44.19
6/18/2018,REM,44.55
6/19/2018,REM,44.72
6/20/2018,REM,44.8
6/21/2018,REM,44.83
6/22/2018,REM,44.74
6/25/2018,REM,44.74
6/26/2018,REM,43.56
6/27/2018,REM,43.07
6/28/2018,REM,43.67
6/29/2018,REM,43.45
7/2/2018,REM,43.71
7/3/2018,REM,44.21
7/5/2018,REM,44.42
7/6/2018,REM,44.56
7/9/2018,REM,44.47
7/10/2018,REM,44.39
7/11/2018,REM,44.58
7/12/2018,REM,44.43
7/13/2018,REM,44.3
7/16/2018,REM,44.23
7/17/2018,REM,44.3
7/18/2018,REM,44.19
7/19/2018,REM,44.47
7/20/2018,REM,44.58
7/23/2018,REM,44.47
7/24/2018,REM,44.37
7/25/2018,REM,44.47
7/26/2018,REM,44.44
7/27/2018,REM,44.49
7/30/2018,REM,44.9
7/31/2018,REM,44.97
8/1/2018,REM,44.64
8/2/2018,REM,44.88
8/3/2018,REM,44.62
8/6/2018,REM,44.52
8/7/2018,REM,44.06
8/8/2018,REM,44.02
8/9/2018,REM,44.19
8/10/2018,REM,44.06
8/13/2018,REM,44.21
8/14/2018,REM,44.24
8/15/2018,REM,44.42
8/16/2018,REM,44.63
