Trade DATE,Symbol,Close
1/3/2017,XOP,168.04
1/4/2017,XOP,168.84
1/5/2017,XOP,168.32
1/6/2017,XOP,167.08
1/9/2017,XOP,162.4
1/10/2017,XOP,162.4
1/11/2017,XOP,164
1/12/2017,XOP,162.88
1/13/2017,XOP,161.88
1/17/2017,XOP,164.44
1/18/2017,XOP,164.2
1/19/2017,XOP,163.76
1/20/2017,XOP,164.52
1/23/2017,XOP,162.8
1/24/2017,XOP,165.36
1/25/2017,XOP,166.44
1/26/2017,XOP,167.2
1/27/2017,XOP,165.2
1/30/2017,XOP,160.64
1/31/2017,XOP,160.32
2/1/2017,XOP,159.12
2/2/2017,XOP,160.2
2/3/2017,XOP,162.72
2/6/2017,XOP,160.24
2/7/2017,XOP,156.36
2/8/2017,XOP,156.72
2/9/2017,XOP,159.6
2/10/2017,XOP,161.4
2/13/2017,XOP,160.12
2/14/2017,XOP,161.4
2/15/2017,XOP,160.76
2/16/2017,XOP,158.08
2/17/2017,XOP,157.28
2/21/2017,XOP,159.24
2/22/2017,XOP,154.64
2/23/2017,XOP,154.52
2/24/2017,XOP,151.48
2/27/2017,XOP,152.68
2/28/2017,XOP,151.44
3/1/2017,XOP,155.56
3/2/2017,XOP,151.8
3/3/2017,XOP,151.44
3/6/2017,XOP,152.4
3/7/2017,XOP,150.24
3/8/2017,XOP,143.8
3/9/2017,XOP,144.8
3/10/2017,XOP,144.44
3/13/2017,XOP,145.44
3/14/2017,XOP,143.52
3/15/2017,XOP,147.88
3/16/2017,XOP,146.28
3/17/2017,XOP,145.76
3/20/2017,XOP,145.97
3/21/2017,XOP,142.76
3/22/2017,XOP,141.24
3/23/2017,XOP,140.68
3/24/2017,XOP,140.84
3/27/2017,XOP,141.48
3/28/2017,XOP,145.16
3/29/2017,XOP,149.04
3/30/2017,XOP,147.76
3/31/2017,XOP,149.76
4/3/2017,XOP,149.16
4/4/2017,XOP,151.16
4/5/2017,XOP,147.6
4/6/2017,XOP,149.64
4/7/2017,XOP,148.88
4/10/2017,XOP,151.36
4/11/2017,XOP,151.56
4/12/2017,XOP,148.84
4/13/2017,XOP,145.32
4/17/2017,XOP,145.96
4/18/2017,XOP,143.76
4/19/2017,XOP,139.8
4/20/2017,XOP,139.96
4/21/2017,XOP,140.44
4/24/2017,XOP,141.52
4/25/2017,XOP,144.36
4/26/2017,XOP,143.48
4/27/2017,XOP,141
4/28/2017,XOP,139.8
5/1/2017,XOP,139.56
5/2/2017,XOP,138.68
5/3/2017,XOP,138.76
5/4/2017,XOP,134.04
5/5/2017,XOP,139.32
5/8/2017,XOP,141.16
5/9/2017,XOP,139.36
5/10/2017,XOP,142.56
5/11/2017,XOP,141.72
5/12/2017,XOP,141.16
5/15/2017,XOP,142.2
5/16/2017,XOP,140.84
5/17/2017,XOP,138.76
5/18/2017,XOP,138.76
5/19/2017,XOP,142.08
5/22/2017,XOP,140.96
5/23/2017,XOP,140.84
5/24/2017,XOP,139
5/25/2017,XOP,135.4
5/26/2017,XOP,135.72
5/30/2017,XOP,131.92
5/31/2017,XOP,130.28
6/1/2017,XOP,132.04
6/2/2017,XOP,129.28
6/5/2017,XOP,128.88
6/6/2017,XOP,132.16
6/7/2017,XOP,126.72
6/8/2017,XOP,125.72
6/9/2017,XOP,130.44
6/12/2017,XOP,131.28
6/13/2017,XOP,134.64
6/14/2017,XOP,128.8
6/15/2017,XOP,125.64
6/16/2017,XOP,126.6
6/19/2017,XOP,126.24
6/20/2017,XOP,124.76
6/21/2017,XOP,120.68
6/22/2017,XOP,120.84
6/23/2017,XOP,124.08
6/26/2017,XOP,124.4
6/27/2017,XOP,124.52
6/28/2017,XOP,125.24
6/29/2017,XOP,126.8
6/30/2017,XOP,127.68
7/3/2017,XOP,130.44
7/5/2017,XOP,126
7/6/2017,XOP,123.16
7/7/2017,XOP,122.64
7/10/2017,XOP,124.52
7/11/2017,XOP,125.64
7/12/2017,XOP,125.6
7/13/2017,XOP,126.56
7/14/2017,XOP,127.64
7/17/2017,XOP,127.56
7/18/2017,XOP,126
7/19/2017,XOP,130.64
7/20/2017,XOP,128.16
7/21/2017,XOP,126.6
7/24/2017,XOP,126.48
7/25/2017,XOP,130.52
7/26/2017,XOP,130.32
7/27/2017,XOP,131.64
7/28/2017,XOP,131.36
7/31/2017,XOP,130.08
8/1/2017,XOP,129.12
8/2/2017,XOP,126.64
8/3/2017,XOP,122.2
8/4/2017,XOP,125.08
8/7/2017,XOP,123.04
8/8/2017,XOP,122.84
8/9/2017,XOP,123.28
8/10/2017,XOP,121.48
8/11/2017,XOP,121.72
8/14/2017,XOP,120.4
8/15/2017,XOP,119.88
8/16/2017,XOP,118.2
8/17/2017,XOP,116.4
8/18/2017,XOP,117.84
8/21/2017,XOP,116.36
8/22/2017,XOP,117.36
8/23/2017,XOP,118.48
8/24/2017,XOP,118.76
8/25/2017,XOP,119.04
8/28/2017,XOP,118.32
8/29/2017,XOP,118.16
8/30/2017,XOP,118.48
8/31/2017,XOP,120.64
9/1/2017,XOP,122.44
9/5/2017,XOP,121.68
9/6/2017,XOP,123.72
9/7/2017,XOP,123.04
9/8/2017,XOP,119.56
9/11/2017,XOP,120.68
9/12/2017,XOP,123.32
9/13/2017,XOP,126.76
9/14/2017,XOP,127.4
9/15/2017,XOP,127.32
9/18/2017,XOP,128.44
9/19/2017,XOP,128.72
9/20/2017,XOP,131.44
9/21/2017,XOP,131.64
9/22/2017,XOP,132.16
9/25/2017,XOP,135.92
9/26/2017,XOP,136.48
9/27/2017,XOP,137.48
9/28/2017,XOP,136.8
